word,label
aurora,10000
aus,10000
austin,10000
australia,10000
australian,10000
austria,10000
authentic,5000
authentication,10000
author,3000
authorities,10000
authority,3000
authorization,10000
authorize,5000
authorized,10000
authors,10000
auto,5000
automated,10000
automatic,3000
automatically,3000
automation,10000
automobile,10000
automobiles,10000
automotive,10000
autonomy,5000
autos,10000
autumn,5000
auxiliary,3000
av,10000
availability,5000
available,3000
avatar,10000
avenue,10000
average,3000
aviation,10000
avoid,3000
avoiding,10000
avon,10000
await,5000
award,3000
awarded,10000
awards,10000
aware,3000
awareness,5000
away,3000
awesome,3000
awful,3000
awkward,5000
axis,10000
az,10000
azerbaijan,10000
ba,10000
babe,10000
babes,10000
babies,10000
baby,3000
bachelor,10000
back,3000
backdrop,5000
backed,10000
background,3000
backgrounds,10000
backing,5000
backup,5000
backward,3000
bacon,10000
bacteria,3000
bacterial,10000
bad,3000
badge,5000
badly,3000
bag,3000
baghdad,10000
bags,10000
bahamas,10000
bahrain,10000
bail,5000
bailey,10000
bake,3000
baker,10000
baking,10000
balance,3000
balanced,5000
bald,10000
bali,10000
ball,3000
ballet,5000
balloon,5000
ballot,5000
balls,10000
baltimore,10000
ban,3000
banana,3000
band,3000
bands,10000
bandwidth,10000
bang,10000
bangkok,10000
bangladesh,10000
bank,3000
banking,10000
bankruptcy,5000
banks,10000
banned,10000
banner,5000
banners,10000
baptist,10000
bar,3000
barbados,10000
barcelona,10000
bare,5000
barely,5000
bargain,5000
bargains,10000
barn,10000
barrel,5000
barrier,3000
barriers,10000
bars,10000
base,3000
baseball,3000
based,3000
baseline,10000
basement,5000
bases,10000
basic,3000
basically,3000
basics,10000
basin,10000
basis,3000
basket,5000
basketball,3000
baskets,10000
bass,10000
bat,5000
batch,10000
bath,3000
bathroom,3000
bathrooms,10000
baths,10000
batman,10000
batteries,10000
battery,3000
battle,3000
battlefield,5000
bay,5000
bbs,10000
bc,10000
bd,10000
be,3000
beach,3000
beaches,10000
beads,10000
beam,5000
bean,3000
beans,10000
bear,3000
bearing,10000
bears,10000
beast,5000
beat,3000
beatles,10000
beats,10000
beautiful,3000
beautifully,10000
beauty,3000
beaver,10000
became,10000
because,3000
become,3000
becomes,10000
becoming,10000
bed,3000
bedding,10000
bedroom,3000
bedrooms,10000
beds,10000
bee,3000
beef,3000
been,10000
beer,3000
before,3000
beg,3000
began,10000
begin,3000
beginner,10000
beginners,10000
beginning,3000
begins,10000
begun,10000
behalf,5000
behave,3000
behavior,3000
behavioral,5000
behaviour,10000
behind,3000
beijing,10000
being,3000
beings,10000
belarus,10000
belfast,10000
belgium,10000
belief,3000
beliefs,10000
believe,3000
believed,10000
believes,10000
belize,10000
bell,3000
belle,10000
belly,10000
belong,3000
belongs,3000
beloved,5000
below,3000
belt,3000
belts,10000
ben,10000
bench,5000
benchmark,5000
bend,3000
beneath,5000
beneficial,5000
beneficiary,5000
benefit,3000
benefits,10000
benjamin,10000
bennett,10000
bent,3000
berkeley,10000
berlin,10000
bermuda,10000
bernard,10000
berry,10000
beside,5000
besides,5000
best,3000
bestiality,10000
bestsellers,10000
bet,3000
beta,10000
beth,10000
betray,5000
better,3000
betting,10000
between,3000
beverage,5000
beverages,10000
beyond,3000
bhutan,10000
bi,10000
bias,5000
bible,10000
biblical,10000
bibliographic,10000
bibliography,10000
bicycle,3000
bid,5000
bidder,10000
bidding,10000
bids,10000
big,3000
bigger,10000
biggest,10000
bike,3000
bikes,10000
bikini,10000
bill,3000
billing,10000
billion,3000
bills,10000
billy,10000
bin,10000
binary,10000
bind,5000
binding,10000
bingo,10000
biodiversity,10000
biographies,10000
biography,5000
biological,5000
biology,3000
biotechnology,10000
bird,3000
birds,10000
birmingham,10000
birth,3000
birthday,3000
bishop,5000
bit,3000
bitch,10000
bite,3000
bits,10000
bitter,3000
biz,10000
bizarre,5000
bk,10000
black,3000
blackberry,10000
blackjack,10000
blacks,10000
blade,5000
blades,10000
blah,10000
blair,10000
blake,10000
blame,3000
blank,3000
blanket,5000
blast,5000
bleed,5000
bleeding,10000
blend,5000
bless,5000
blessed,10000
blessing,5000
blind,3000
blink,10000
block,3000
blocked,10000
blocking,10000
blocks,10000
blog,3000
blogger,10000
bloggers,10000
blogs,10000
blond,3000
blonde,10000
blood,3000
bloody,10000
bloom,10000
blow,3000
blowing,10000
blowjob,10000
blowjobs,10000
blue,3000
blues,10000
bm,10000
board,3000
boards,10000
boast,5000
boat,3000
boating,10000
boats,10000
bob,10000
bobby,10000
bodies,10000
body,3000
boil,3000
bold,5000
bolivia,10000
